Date : 2022-08-08 06:17:37
Directory : d:\ttlab\qr-code-backend
Total : 251 files,  9335 codes, 812 comments, 1344 blanks, all 11491 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src\modules\auth\entity                                                             |          1 |         24 |          1 |          7 |         32 |
| src\modules\auth\services                                                           |          1 |        194 |         21 |         16 |        231 |
| src\modules\category                                                                |         10 |        312 |          1 |         50 |        363 |
| src\modules\category\dto                                                            |          2 |         58 |          0 |         16 |         74 |
| src\modules\category\dto\request                                                    |          1 |         36 |          0 |         10 |         46 |
| src\modules\category\dto\response                                                   |          1 |         22 |          0 |          6 |         28 |
| src\modules\category\entity                                                         |          1 |         20 |          0 |          5 |         25 |
| src\modules\category\services                                                       |          1 |         39 |          0 |          4 |         43 |
| src\modules\file                                                                    |         10 |        256 |          1 |         44 |        301 |
| src\modules\file\dto                                                                |          2 |         33 |          0 |          9 |         42 |
| src\modules\file\dto\request                                                        |          1 |          9 |          0 |          5 |         14 |
| src\modules\file\dto\response                                                       |          1 |         24 |          0 |          4 |         28 |
| src\modules\file\entity                                                             |          1 |         19 |          0 |          6 |         25 |
| src\modules\file\services                                                           |          1 |         26 |          0 |          4 |         30 |
| src\modules\product                                                                 |         10 |        662 |         21 |        114 |        797 |
| src\modules\product\dto                                                             |          2 |        165 |          0 |         37 |        202 |
| src\modules\product\dto\request                                                     |          1 |        114 |          0 |         34 |        148 |
| src\modules\product\dto\response                                                    |          1 |         51 |          0 |          3 |         54 |
| src\modules\product\entity                                                          |          1 |         51 |          0 |         15 |         66 |
| src\modules\product\services                                                        |          1 |        133 |          0 |         18 |        151 |
| src\modules\provider                                                                |         10 |        489 |          1 |         70 |        560 |
| src\modules\provider\dto                                                            |          2 |         96 |          0 |         20 |        116 |
| src\modules\provider\dto\request                                                    |          1 |         60 |          0 |         16 |         76 |
| src\modules\provider\dto\response                                                   |          1 |         36 |          0 |          4 |         40 |
| src\modules\provider\entity                                                         |          1 |         48 |          0 |         11 |         59 |
| src\modules\provider\services                                                       |          1 |         83 |          0 |          8 |         91 |
| src\modules\role                                                                    |         18 |        208 |        260 |         84 |        552 |
| src\modules\role\dto                                                                |          6 |         56 |          8 |         20 |         84 |
| src\modules\role\dto\requests                                                       |          3 |         32 |          6 |          9 |         47 |
| src\modules\role\dto\responses                                                      |          3 |         24 |          2 |         11 |         37 |
| src\modules\role\entity                                                             |          6 |        116 |          0 |         29 |        145 |
| src\modules\role\services                                                           |          1 |         12 |          0 |          3 |         15 |
| src\modules\user                                                                    |         14 |        758 |          4 |        115 |        877 |
| src\modules\user\dto                                                                |          6 |        143 |          3 |         36 |        182 |
| src\modules\user\dto\requests                                                       |          4 |         95 |          0 |         25 |        120 |
| src\modules\user\dto\response                                                       |          2 |         48 |          3 |         11 |         62 |
| src\modules\user\entity                                                             |          1 |         62 |          0 |         18 |         80 |
| src\modules\user\services                                                           |          1 |        165 |          0 |         15 |        180 |
| src\plugins                                                                         |          5 |        164 |        100 |         36 |        300 |
| src\plugins\debug                                                                   |          1 |         15 |          0 |          2 |         17 |
| src\plugins\joi                                                                     |          1 |         21 |          0 |          7 |         28 |
| src\plugins\lodash                                                                  |          1 |         18 |          0 |          3 |         21 |
| src\plugins\moment                                                                  |          1 |        106 |        100 |         23 |        229 |
+-------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                            | language           | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| d:\ttlab\qr-code-backend\.eslintrc.js                                               | JavaScript         |         35 |          0 |          1 |         36 |
| d:\ttlab\qr-code-backend\.hygen.js                                                  | JavaScript         |        116 |          1 |         10 |        127 |
| d:\ttlab\qr-code-backend\.hygen\generator\help\index.ejs.t                          | Perl               |          5 |          0 |          0 |          5 |
| d:\ttlab\qr-code-backend\.hygen\generator\new\hello.ejs.t                           | Perl               |         13 |          0 |          6 |         19 |
| d:\ttlab\qr-code-backend\.hygen\generator\with-prompt\hello.ejs.t                   | Perl               |         13 |          0 |          6 |         19 |
| d:\ttlab\qr-code-backend\.hygen\generator\with-prompt\prompt.ejs.t                  | Perl               |         13 |          0 |          2 |         15 |
| d:\ttlab\qr-code-backend\.hygen\init\repo\new-repo.ejs.t                            | Perl               |          4 |          0 |          1 |          5 |
| d:\ttlab\qr-code-backend\.hygen\new\module\v1\builder.ejs.t                         | Perl               |         17 |          0 |          2 |         19 |
| d:\ttlab\qr-code-backend\.hygen\new\module\v1\constant.ejs.t                        | Perl               |         20 |          0 |          2 |         22 |
| d:\ttlab\qr-code-backend\.hygen\new\module\v1\controller.ejs.t                      | Perl               |        140 |          0 |         15 |        155 |
| d:\ttlab\qr-code-backend\.hygen\new\module\v1\database-name.ejs.t                   | Perl               |         13 |          0 |          0 |         13 |
| d:\ttlab\qr-code-backend\.hygen\new\module\v1\entity.ejs.t                          | Perl               |         20 |          0 |          2 |         22 |
| d:\ttlab\qr-code-backend\.hygen\new\module\v1\factory\factory-inject-1.ejs.t        | Perl               |         13 |          0 |          0 |         13 |
| d:\ttlab\qr-code-backend\.hygen\new\module\v1\factory\factory-inject-2.ejs.t        | Perl               |         14 |          0 |          0 |         14 |
| d:\ttlab\qr-code-backend\.hygen\new\module\v1\factory\factory.ejs.t                 | Perl               |         19 |          0 |          3 |         22 |
| d:\ttlab\qr-code-backend\.hygen\new\module\v1\i18n\en.inject.ejs.t                  | Perl               |         14 |          0 |          0 |         14 |
| d:\ttlab\qr-code-backend\.hygen\new\module\v1\i18n\en.inject2.ejs.t                 | Perl               |         13 |          0 |          1 |         14 |
| d:\ttlab\qr-code-backend\.hygen\new\module\v1\i18n\en.json.ejs.t                    | Perl               |         23 |          0 |          0 |         23 |
| d:\ttlab\qr-code-backend\.hygen\new\module\v1\i18n\vi.inject.ejs.t                  | Perl               |         14 |          0 |          0 |         14 |
| d:\ttlab\qr-code-backend\.hygen\new\module\v1\i18n\vi.inject2.ejs.t                 | Perl               |         13 |          0 |          1 |         14 |
| d:\ttlab\qr-code-backend\.hygen\new\module\v1\i18n\vi.json.ejs.t                    | Perl               |         23 |          0 |          0 |         23 |
| d:\ttlab\qr-code-backend\.hygen\new\module\v1\interface.ejs.t                       | Perl               |         10 |          0 |          0 |         10 |
| d:\ttlab\qr-code-backend\.hygen\new\module\v1\module.ejs.t                          | Perl               |         21 |          0 |          2 |         23 |
| d:\ttlab\qr-code-backend\.hygen\new\module\v1\permission.resource.ejs.t             | Perl               |         13 |          0 |          0 |         13 |
| d:\ttlab\qr-code-backend\.hygen\new\module\v1\repository.ejs.t                      | Perl               |         22 |          0 |          3 |         25 |
| d:\ttlab\qr-code-backend\.hygen\new\module\v1\request.dto.ejs.t                     | Perl               |         15 |          0 |          5 |         20 |
| d:\ttlab\qr-code-backend\.hygen\new\module\v1\response.dto.ejs.t                    | Perl               |         29 |          0 |          6 |         35 |
| d:\ttlab\qr-code-backend\.hygen\new\module\v1\seed.ejs.t                            | Perl               |         34 |          0 |          6 |         40 |
| d:\ttlab\qr-code-backend\.hygen\new\module\v1\service.ejs.t                         | Perl               |         38 |          0 |          4 |         42 |
| d:\ttlab\qr-code-backend\.hygen\new\module\v1\tsconfig.ejs.t                        | Perl               |          9 |          0 |          0 |          9 |
| d:\ttlab\qr-code-backend\.prettierrc                                                | JSON               |          6 |          0 |          0 |          6 |
| d:\ttlab\qr-code-backend\Jenkinsfile                                                | Groovy             |         25 |          0 |          5 |         30 |
| d:\ttlab\qr-code-backend\README.md                                                  | Markdown           |        224 |          0 |         32 |        256 |
| d:\ttlab\qr-code-backend\database\config.ts                                         | TypeScript         |         41 |          0 |          3 |         44 |
| d:\ttlab\qr-code-backend\database\constant.ts                                       | TypeScript         |         60 |          2 |          5 |         67 |
| d:\ttlab\qr-code-backend\database\create-database.ts                                | TypeScript         |         19 |          1 |          4 |         24 |
| d:\ttlab\qr-code-backend\database\factories\action.factory.ts                       | TypeScript         |         15 |          0 |          3 |         18 |
| d:\ttlab\qr-code-backend\database\factories\category.factory.ts                     | TypeScript         |         10 |          0 |          3 |         13 |
| d:\ttlab\qr-code-backend\database\factories\file.factory.ts                         | TypeScript         |         12 |          0 |          4 |         16 |
| d:\ttlab\qr-code-backend\database\factories\index.ts                                | TypeScript         |         81 |         57 |          6 |        144 |
| d:\ttlab\qr-code-backend\database\factories\permission.factory.ts                   | TypeScript         |         25 |          0 |          3 |         28 |
| d:\ttlab\qr-code-backend\database\factories\permission_action.factory.ts            | TypeScript         |         12 |          0 |          4 |         16 |
| d:\ttlab\qr-code-backend\database\factories\permission_resource.factory.ts          | TypeScript         |         13 |          0 |          4 |         17 |
| d:\ttlab\qr-code-backend\database\factories\product.factory.ts                      | TypeScript         |         25 |          0 |          3 |         28 |
| d:\ttlab\qr-code-backend\database\factories\provider.factory.ts                     | TypeScript         |         19 |          0 |          4 |         23 |
| d:\ttlab\qr-code-backend\database\factories\role.factory.ts                         | TypeScript         |         20 |          0 |          3 |         23 |
| d:\ttlab\qr-code-backend\database\factories\role_permission.factory.ts              | TypeScript         |         15 |          0 |          3 |         18 |
| d:\ttlab\qr-code-backend\database\factories\user.factory.ts                         | TypeScript         |         17 |          0 |          3 |         20 |
| d:\ttlab\qr-code-backend\database\factories\user_role.factory.ts                    | TypeScript         |         14 |          0 |          3 |         17 |
| d:\ttlab\qr-code-backend\database\factories\user_token.factory.ts                   | TypeScript         |         15 |          0 |          3 |         18 |
| d:\ttlab\qr-code-backend\database\migrations\1659530870541-db-migration.ts          | TypeScript         |         64 |          0 |          5 |         69 |
| d:\ttlab\qr-code-backend\database\seedings\000.seed-user.ts                         | TypeScript         |         59 |          0 |          2 |         61 |
| d:\ttlab\qr-code-backend\database\seedings\001.permission-action.ts                 | TypeScript         |         47 |          0 |          3 |         50 |
| d:\ttlab\qr-code-backend\database\seedings\002.permission-resource.ts               | TypeScript         |         28 |          0 |          3 |         31 |
| d:\ttlab\qr-code-backend\database\seedings\003.role.seed.ts                         | TypeScript         |         29 |          0 |          3 |         32 |
| d:\ttlab\qr-code-backend\database\seedings\004.user-role.seed.ts                    | TypeScript         |         56 |          0 |          6 |         62 |
| d:\ttlab\qr-code-backend\database\seedings\005.permission.seed.ts                   | TypeScript         |         82 |          0 |          7 |         89 |
| d:\ttlab\qr-code-backend\database\seedings\006.role-permission.seed.ts              | TypeScript         |         80 |         35 |         10 |        125 |
| d:\ttlab\qr-code-backend\database\seedings\007.category.seed.ts                     | TypeScript         |         43 |          0 |          5 |         48 |
| d:\ttlab\qr-code-backend\database\seedings\008.file.seed.ts                         | TypeScript         |         61 |          0 |          5 |         66 |
| d:\ttlab\qr-code-backend\database\seedings\009.provider.seed.ts                     | TypeScript         |         69 |          0 |          6 |         75 |
| d:\ttlab\qr-code-backend\database\seedings\010.product.seed.ts                      | TypeScript         |        109 |          0 |         18 |        127 |
| d:\ttlab\qr-code-backend\database\seedings\011.action.seed.ts                       | TypeScript         |         55 |          0 |          6 |         61 |
| d:\ttlab\qr-code-backend\database\seedings\excutor\index.ts                         | TypeScript         |         26 |          0 |          2 |         28 |
| d:\ttlab\qr-code-backend\database\temp\001-User.ts                                  | TypeScript         |         64 |          8 |          4 |         76 |
| d:\ttlab\qr-code-backend\database\temp\002-Role.ts                                  | TypeScript         |         23 |          0 |          3 |         26 |
| d:\ttlab\qr-code-backend\database\temp\003-UserRole.ts                              | TypeScript         |         47 |          0 |          5 |         52 |
| d:\ttlab\qr-code-backend\database\temp\013-UserToken.ts                             | TypeScript         |         57 |          0 |          4 |         61 |
| d:\ttlab\qr-code-backend\database\temp\migrations\1656263529307-db-migration.ts     | TypeScript         |         38 |          0 |          5 |         43 |
| d:\ttlab\qr-code-backend\database\temp\migrations\1656410978612-db-migration.ts     | TypeScript         |         38 |          0 |          5 |         43 |
| d:\ttlab\qr-code-backend\database\temp\seeds\001-SeedingRole.ts                     | TypeScript         |         41 |          0 |          5 |         46 |
| d:\ttlab\qr-code-backend\database\temp\seeds\006-SeedingUser.ts                     | TypeScript         |         77 |          0 |          3 |         80 |
| d:\ttlab\qr-code-backend\docker\docker-compose.yml                                  | YAML               |         32 |          2 |          1 |         35 |
| d:\ttlab\qr-code-backend\nest-cli.json                                              | JSON               |         17 |          0 |          1 |         18 |
| d:\ttlab\qr-code-backend\nodemon.json                                               | JSON               |          5 |          0 |          0 |          5 |
| d:\ttlab\qr-code-backend\package.json                                               | JSON               |        106 |          0 |          1 |        107 |
| d:\ttlab\qr-code-backend\src\app.controller.ts                                      | TypeScript         |         40 |         25 |         13 |         78 |
| d:\ttlab\qr-code-backend\src\app.module.ts                                          | TypeScript         |         45 |          0 |          2 |         47 |
| d:\ttlab\qr-code-backend\src\common\base\controller.base.ts                         | TypeScript         |         25 |          0 |          5 |         30 |
| d:\ttlab\qr-code-backend\src\common\base\dto.base.ts                                | TypeScript         |         27 |          0 |          6 |         33 |
| d:\ttlab\qr-code-backend\src\common\base\index.ts                                   | TypeScript         |          6 |          0 |          1 |          7 |
| d:\ttlab\qr-code-backend\src\common\base\interface.base.ts                          | TypeScript         |         14 |          0 |          5 |         19 |
| d:\ttlab\qr-code-backend\src\common\base\query-builder.base.ts                      | TypeScript         |        133 |          1 |         20 |        154 |
| d:\ttlab\qr-code-backend\src\common\base\repository.base.ts                         | TypeScript         |         54 |          2 |          9 |         65 |
| d:\ttlab\qr-code-backend\src\common\base\service.base.ts                            | TypeScript         |         54 |         12 |         19 |         85 |
| d:\ttlab\qr-code-backend\src\common\boilerplate.polyfill.ts                         | TypeScript         |        131 |         86 |         42 |        259 |
| d:\ttlab\qr-code-backend\src\common\config\config-key.ts                            | TypeScript         |         27 |          0 |          2 |         29 |
| d:\ttlab\qr-code-backend\src\common\config\validation-schema.ts                     | TypeScript         |         45 |          0 |          7 |         52 |
| d:\ttlab\qr-code-backend\src\common\constants\common.constants.ts                   | TypeScript         |        104 |          1 |         33 |        138 |
| d:\ttlab\qr-code-backend\src\common\constants\http-status.constant.ts               | TypeScript         |         13 |          0 |          1 |         14 |
| d:\ttlab\qr-code-backend\src\common\constants\index.ts                              | TypeScript         |          3 |          0 |          1 |          4 |
| d:\ttlab\qr-code-backend\src\common\constants\permission.constant.ts                | TypeScript         |         23 |          0 |          3 |         26 |
| d:\ttlab\qr-code-backend\src\common\decorators\common.decorator.ts                  | TypeScript         |         53 |          1 |          6 |         60 |
| d:\ttlab\qr-code-backend\src\common\decorators\index.ts                             | TypeScript         |          3 |          0 |          1 |          4 |
| d:\ttlab\qr-code-backend\src\common\decorators\validator.decorator.ts               | TypeScript         |        207 |         21 |         32 |        260 |
| d:\ttlab\qr-code-backend\src\common\decorators\virtual-column.decorator.ts          | TypeScript         |         20 |          0 |          6 |         26 |
| d:\ttlab\qr-code-backend\src\common\entites\BaseEntity.ts                           | TypeScript         |         44 |          0 |         13 |         57 |
| d:\ttlab\qr-code-backend\src\common\exceptions\bad-request.exception.ts             | TypeScript         |          8 |          0 |          2 |         10 |
| d:\ttlab\qr-code-backend\src\common\exceptions\index.ts                             | TypeScript         |          3 |          0 |          1 |          4 |
| d:\ttlab\qr-code-backend\src\common\exceptions\not-found.exception.ts               | TypeScript         |          8 |          0 |          2 |         10 |
| d:\ttlab\qr-code-backend\src\common\exceptions\validation.exception.ts              | TypeScript         |          8 |          0 |          3 |         11 |
| d:\ttlab\qr-code-backend\src\common\filters\all-exceptions.filter.ts                | TypeScript         |        160 |          6 |         13 |        179 |
| d:\ttlab\qr-code-backend\src\common\filters\index.ts                                | TypeScript         |          1 |          0 |          1 |          2 |
| d:\ttlab\qr-code-backend\src\common\guards\authorization.guard.ts                   | TypeScript         |         60 |          1 |          8 |         69 |
| d:\ttlab\qr-code-backend\src\common\guards\jwt.guard.ts                             | TypeScript         |         64 |          0 |          7 |         71 |
| d:\ttlab\qr-code-backend\src\common\helpers\api.response.ts                         | TypeScript         |         61 |          0 |          7 |         68 |
| d:\ttlab\qr-code-backend\src\common\helpers\common.function.ts                      | TypeScript         |         52 |          0 |          5 |         57 |
| d:\ttlab\qr-code-backend\src\common\helpers\util.ts                                 | TypeScript         |         35 |          0 |          6 |         41 |
| d:\ttlab\qr-code-backend\src\common\index.ts                                        | TypeScript         |         20 |          0 |          1 |         21 |
| d:\ttlab\qr-code-backend\src\common\interceptors\auth-user.interceptor.ts           | TypeScript         |          0 |         17 |          5 |         22 |
| d:\ttlab\qr-code-backend\src\common\interceptors\transform.interceptor.ts           | TypeScript         |         25 |          1 |          2 |         28 |
| d:\ttlab\qr-code-backend\src\common\modules\common.module.ts                        | TypeScript         |         40 |          0 |          4 |         44 |
| d:\ttlab\qr-code-backend\src\common\modules\database\database.module.ts             | TypeScript         |         56 |          0 |          2 |         58 |
| d:\ttlab\qr-code-backend\src\common\modules\database\database.service.ts            | TypeScript         |         44 |          1 |          4 |         49 |
| d:\ttlab\qr-code-backend\src\common\modules\i18n\i18n.module.ts                     | TypeScript         |         24 |          5 |          4 |         33 |
| d:\ttlab\qr-code-backend\src\common\modules\index.ts                                | TypeScript         |          3 |          0 |          1 |          4 |
| d:\ttlab\qr-code-backend\src\common\modules\services\common.service.ts              | TypeScript         |         10 |          0 |          2 |         12 |
| d:\ttlab\qr-code-backend\src\common\modules\winston\winston.module.ts               | TypeScript         |         48 |          0 |          4 |         52 |
| d:\ttlab\qr-code-backend\src\common\pipes\joi.validation.pipe.ts                    | TypeScript         |         31 |          1 |          6 |         38 |
| d:\ttlab\qr-code-backend\src\common\pipes\removeEmptyQueryPipe.ts                   | TypeScript         |         20 |          0 |          4 |         24 |
| d:\ttlab\qr-code-backend\src\common\providers\context.provider.ts                   | TypeScript         |         30 |          1 |         11 |         42 |
| d:\ttlab\qr-code-backend\src\common\providers\generator.provider.ts                 | TypeScript         |         50 |          4 |         15 |         69 |
| d:\ttlab\qr-code-backend\src\common\providers\index.ts                              | TypeScript         |          2 |          0 |          1 |          3 |
| d:\ttlab\qr-code-backend\src\common\types.ts                                        | TypeScript         |         42 |          1 |          8 |         51 |
| d:\ttlab\qr-code-backend\src\i18n\en\action.json                                    | JSON               |         12 |          0 |          1 |         13 |
| d:\ttlab\qr-code-backend\src\i18n\en\auth.json                                      | JSON               |         47 |          0 |          1 |         48 |
| d:\ttlab\qr-code-backend\src\i18n\en\category.json                                  | JSON               |         12 |          0 |          1 |         13 |
| d:\ttlab\qr-code-backend\src\i18n\en\errors.json                                    | JSON               |          6 |          0 |          1 |          7 |
| d:\ttlab\qr-code-backend\src\i18n\en\file.json                                      | JSON               |         12 |          0 |          1 |         13 |
| d:\ttlab\qr-code-backend\src\i18n\en\index.ts                                       | TypeScript         |         20 |          0 |          7 |         27 |
| d:\ttlab\qr-code-backend\src\i18n\en\product.json                                   | JSON               |         13 |          0 |          1 |         14 |
| d:\ttlab\qr-code-backend\src\i18n\en\provider.json                                  | JSON               |         14 |          0 |          1 |         15 |
| d:\ttlab\qr-code-backend\src\i18n\en\user.json                                      | JSON               |         51 |          0 |          1 |         52 |
| d:\ttlab\qr-code-backend\src\i18n\en\validation.json                                | JSON               |        107 |          0 |          0 |        107 |
| d:\ttlab\qr-code-backend\src\i18n\i18n.ts                                           | TypeScript         |         21 |         10 |          5 |         36 |
| d:\ttlab\qr-code-backend\src\i18n\index.ts                                          | TypeScript         |          1 |          0 |          1 |          2 |
| d:\ttlab\qr-code-backend\src\i18n\vi\action.json                                    | JSON               |         12 |          0 |          1 |         13 |
| d:\ttlab\qr-code-backend\src\i18n\vi\auth.json                                      | JSON               |         45 |          0 |          1 |         46 |
| d:\ttlab\qr-code-backend\src\i18n\vi\category.json                                  | JSON               |         12 |          0 |          1 |         13 |
| d:\ttlab\qr-code-backend\src\i18n\vi\errors.json                                    | JSON               |          6 |          0 |          0 |          6 |
| d:\ttlab\qr-code-backend\src\i18n\vi\file.json                                      | JSON               |         12 |          0 |          1 |         13 |
| d:\ttlab\qr-code-backend\src\i18n\vi\index.ts                                       | TypeScript         |         20 |          0 |          7 |         27 |
| d:\ttlab\qr-code-backend\src\i18n\vi\product.json                                   | JSON               |         13 |          0 |          1 |         14 |
| d:\ttlab\qr-code-backend\src\i18n\vi\provider.json                                  | JSON               |         14 |          0 |          1 |         15 |
| d:\ttlab\qr-code-backend\src\i18n\vi\user.json                                      | JSON               |         49 |          0 |          1 |         50 |
| d:\ttlab\qr-code-backend\src\i18n\vi\validation.json                                | JSON               |        107 |          0 |          1 |        108 |
| d:\ttlab\qr-code-backend\src\index.d.ts                                             | TypeScript         |          0 |          8 |          1 |          9 |
| d:\ttlab\qr-code-backend\src\main.ts                                                | TypeScript         |         86 |         15 |         10 |        111 |
| d:\ttlab\qr-code-backend\src\modules\action\action.builder.ts                       | TypeScript         |          8 |          0 |          2 |         10 |
| d:\ttlab\qr-code-backend\src\modules\action\action.constant.ts                      | TypeScript         |         11 |          0 |          2 |         13 |
| d:\ttlab\qr-code-backend\src\modules\action\action.controller.ts                    | TypeScript         |        150 |          0 |         13 |        163 |
| d:\ttlab\qr-code-backend\src\modules\action\action.interface.ts                     | TypeScript         |          0 |          1 |          1 |          2 |
| d:\ttlab\qr-code-backend\src\modules\action\action.module.ts                        | TypeScript         |         12 |          0 |          2 |         14 |
| d:\ttlab\qr-code-backend\src\modules\action\action.repository.ts                    | TypeScript         |         18 |          0 |          4 |         22 |
| d:\ttlab\qr-code-backend\src\modules\action\dto\request\action.request.dto.ts       | TypeScript         |         35 |          0 |          9 |         44 |
| d:\ttlab\qr-code-backend\src\modules\action\dto\response\action.response.dto.ts     | TypeScript         |         34 |          0 |          4 |         38 |
| d:\ttlab\qr-code-backend\src\modules\action\entity\action.entity.ts                 | TypeScript         |         29 |          0 |          9 |         38 |
| d:\ttlab\qr-code-backend\src\modules\action\services\action.service.ts              | TypeScript         |         48 |          0 |          6 |         54 |
| d:\ttlab\qr-code-backend\src\modules\auth\auth.constant.ts                          | TypeScript         |         27 |          0 |          4 |         31 |
| d:\ttlab\qr-code-backend\src\modules\auth\auth.controller.ts                        | TypeScript         |        212 |          5 |         20 |        237 |
| d:\ttlab\qr-code-backend\src\modules\auth\auth.interface.ts                         | TypeScript         |         12 |          0 |          2 |         14 |
| d:\ttlab\qr-code-backend\src\modules\auth\auth.middleware.ts                        | TypeScript         |         13 |          0 |          3 |         16 |
| d:\ttlab\qr-code-backend\src\modules\auth\auth.module.ts                            | TypeScript         |         30 |          0 |          1 |         31 |
| d:\ttlab\qr-code-backend\src\modules\auth\dto\requests\google-login-link.dto.ts     | TypeScript         |         12 |          0 |          2 |         14 |
| d:\ttlab\qr-code-backend\src\modules\auth\dto\requests\google-login.dto.ts          | TypeScript         |         12 |          0 |          2 |         14 |
| d:\ttlab\qr-code-backend\src\modules\auth\dto\requests\login.dto.ts                 | TypeScript         |          8 |          0 |          3 |         11 |
